"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Joseph Gunkel","","0","0","4.85","0","0","0","1.0","1","1","0","1","0","1.38","6.69","2.50","4.89","0.0","0.0","999.0","sa738176"
"Robbie Erlin","","0","0","4.81","0","0","0","1.0","1","1","0","1","0","1.39","7.05","2.73","4.90","0.0","0.0","999.0","10354"
"John Lamb","","0","0","4.78","0","0","0","1.0","1","1","0","1","0","1.40","7.98","3.33","4.90","0.0","0.0","999.0","8493"
"Manny Banuelos","","0","0","4.74","0","0","0","1.0","1","1","0","1","0","1.45","8.68","4.24","4.91","0.0","0.0","999.0","5365"
"Matthew Gage","ARI","0","0","4.78","0","0","0","1.0","1","1","0","1","0","1.45","6.72","3.36","4.91","0.0","0.0","999.0","sa827398"
"Kevin McCanna","ARI","0","0","4.90","0","0","0","1.0","1","1","0","1","0","1.43","8.31","3.78","4.91","0.0","0.0","999.0","sa658530"
"Felix Doubront","","0","0","4.75","0","0","0","1.0","1","1","0","1","0","1.41","6.61","2.93","4.92","0.0","0.0","999.0","1478"
"Cory Abbott","","0","0","4.88","0","0","0","1.0","1","1","0","1","0","1.44","8.57","4.06","4.92","0.0","0.0","600.9","sa3005305"
"John Simms","","0","0","4.86","0","0","0","1.0","1","1","0","1","0","1.45","8.18","3.94","4.93","0.0","0.0","999.0","sa550088"
"Yadier Alvarez","LAD","0","0","4.68","0","0","0","1.0","1","1","0","1","1","1.53","8.44","5.05","4.93","0.0","0.0","999.0","sa868984"
"Ryan Hartman","HOU","0","0","4.64","0","0","0","1.0","1","1","0","1","0","1.37","8.02","3.36","4.94","0.0","0.0","999.0","sa918166"
"Aaron Phillips","SFG","0","0","4.97","0","0","0","1.0","1","1","0","1","0","1.46","7.33","3.64","4.94","0.0","0.0","999.0","sa3004747"
"Daniel Camarena","SDP","0","0","4.65","0","0","0","1.0","1","1","0","1","0","1.39","7.37","3.36","4.95","0.0","0.0","999.0","sa599205"
"Charles Whitley","HOU","0","0","4.75","0","0","0","1.0","1","1","0","1","1","1.45","9.12","4.60","4.95","0.0","0.0","999.0","sa917930"
"Paul Blackburn","OAK","0","0","4.81","0","0","0","1.0","1","1","0","1","0","1.43","5.76","2.91","4.95","0.0","0.0","999.0","14739"
"Michael Bowden","","0","0","4.81","0","0","0","1.0","1","1","0","1","0","1.35","7.83","2.76","4.96","0.0","0.0","999.0","4440"
"Elian Leyva","","0","0","4.97","0","0","0","1.0","1","1","0","1","0","1.45","7.21","3.36","4.96","0.0","0.0","999.0","sa964182"
"Aaron Brooks","","0","0","5.00","0","0","0","1.0","1","1","0","1","0","1.43","7.00","3.03","4.96","0.0","0.0","999.0","12272"
"Bryce Hensley","","0","0","4.75","0","0","0","1.0","1","1","0","1","0","1.49","6.51","3.68","4.97","0.0","0.0","999.0","sa3006988"
"Hayden Deal","ATL","0","0","4.85","0","0","0","1.0","1","1","0","1","0","1.58","6.09","4.12","4.97","0.0","0.0","999.0","sa3004680"
"Jaime Garcia","","0","0","4.82","0","0","0","1.0","1","1","0","1","0","1.50","7.33","4.03","4.97","0.0","0.0","999.0","8137"
"David Hurlbut","","0","0","4.82","0","0","0","1.0","1","1","0","1","0","1.44","6.82","3.21","4.97","0.0","0.0","999.0","sa503067"
"Dylan Thompson","","0","0","4.90","0","0","0","1.0","1","1","0","1","0","1.50","6.03","3.47","4.97","0.0","0.0","999.0","sa829545"
